Date,Pcpn
11/26/02,0.6
11/27/02,1.23
11/28/02,1.61
11/29/02,15.38
11/30/02,23.42
12/1/02,4.23
12/2/02,2.41
12/3/02,0.4
12/4/02,4.22
12/5/02,1.63
12/6/02,2.28
12/7/02,2.08
12/8/02,1.11
12/9/02,42.66
12/10/02,74.88
12/11/02,19.67
12/12/02,29.32
12/13/02,370.21
12/14/02,638.37
12/15/02,372.47
12/16/02,747.21
12/17/02,314.26
12/18/02,68
12/19/02,178.99
12/20/02,397.51
12/21/02,193.54
12/22/02,29.15
12/23/02,12.77
12/24/02,9.59
12/25/02,7.66
12/26/02,71.96
12/27/02,243.86
12/28/02,322.9
12/29/02,243.44
12/30/02,152.62
12/31/02,290.31
1/1/03,21.57
1/2/03,9.88
1/3/03,15.52
1/4/03,10.45
1/5/03,4.53
1/6/03,0.8
1/7/03,0.48
1/8/03,7.61
1/9/03,47.84
1/10/03,177.89
1/11/03,90.46
1/12/03,77.19
1/13/03,160.8
1/14/03,65.67
1/15/03,9.02
1/16/03,0.72
1/17/03,0.69
1/18/03,0.4
1/19/03,0.85
1/20/03,9.55
1/21/03,53.35
1/22/03,72.46
1/23/03,101.05
1/24/03,39.76
1/25/03,34.68
1/26/03,10.85
1/27/03,51.26
1/28/03,13.73
1/29/03,3.86
1/30/03,16.63
1/31/03,14.76
2/1/03,25.26
2/2/03,14.62
2/3/03,2.27
2/4/03,0.39
2/5/03,0.41
2/6/03,0.21
2/7/03,0.93
2/8/03,1.39
2/9/03,0.55
2/10/03,3.51
2/11/03,91.49
2/12/03,293.01
2/13/03,262.91
2/14/03,68.39
2/15/03,65.76
2/16/03,238.26
2/17/03,19.99
2/18/03,22.95
2/19/03,49.56
2/20/03,31.73
2/21/03,1.27
2/22/03,1.27
2/23/03,1.02
2/24/03,36.29
2/25/03,172.37
2/26/03,58.99
2/27/03,77.44
2/28/03,17.69
3/1/03,6.6
3/2/03,3.67
3/3/03,10.82
3/4/03,21.13
3/5/03,6.09
3/6/03,0.13
3/7/03,1.84
3/8/03,1.19
3/9/03,12.79
3/10/03,18.01
3/11/03,6.02
3/12/03,8.07
3/13/03,30.42
3/14/03,209.96
3/15/03,586
3/16/03,226.65
3/17/03,61.54
3/18/03,7.32
3/19/03,19.68
3/20/03,59.12
3/21/03,4.93
3/22/03,27.09
3/23/03,73.86
3/24/03,17.86
3/25/03,29.37
3/26/03,100.41
3/27/03,7.38
3/28/03,1.15
3/29/03,1.7
3/30/03,0.9
3/31/03,2.11
4/1/03,33.97
4/2/03,101.23
4/3/03,75.14
4/4/03,140.56
4/5/03,40.7
4/6/03,24.81
4/7/03,9.21
4/8/03,0.97
4/9/03,1.98
4/10/03,8.39
4/11/03,12.79
4/12/03,164.51
4/13/03,333.59
4/14/03,234.55
4/15/03,92.5
4/16/03,37.08
4/17/03,38.17
4/18/03,23.46
4/19/03,3.83
4/20/03,3.13
4/21/03,47.37
4/22/03,59.42
4/23/03,32.59
4/24/03,176.24
4/25/03,131.03
4/26/03,92.5
4/27/03,37.27
4/28/03,165.46
4/29/03,121.09
4/30/03,45.81
5/1/03,8.78
5/2/03,72.5
5/3/03,241.91
5/4/03,112.1
5/5/03,14.28
5/6/03,5.64
5/7/03,19.91
5/8/03,65.78
5/9/03,41.73
5/10/03,6.37
5/11/03,4.48
5/12/03,2.39
5/13/03,7.24
5/14/03,3.27
5/15/03,4.14
5/16/03,0.15
5/17/03,0.2
5/18/03,0.15
5/19/03,0.3
5/20/03,0.3
5/21/03,0.01
5/22/03,0.14
5/23/03,0.66
5/24/03,0.9
5/25/03,1.95
5/26/03,0.23
5/27/03,0
5/28/03,0.2
5/29/03,0.8
5/30/03,4.43
5/31/03,0.01
6/1/03,0.11
6/2/03,0.12
6/3/03,0.49
6/4/03,0.48
6/5/03,0.32
6/6/03,0.22
6/7/03,6.49
6/8/03,0.2
6/9/03,1.6
6/10/03,1.18
6/11/03,0.46
6/12/03,0.92
6/13/03,1.57
6/14/03,0.09
6/15/03,0.1
